Shop,Game,Bet Slips,First Slip Issued,Last Slip Issued,Currency,Paid In,Withholding Tax,Paid Out,Gross Win,GW Margin %,Winnings - Unpaid,Net Win,Net Win Margin %
Potchefstroom,1906,2298,2024/02/01 08:42,2024/02/28 20:19,ZAR,82786.28,0,-67640.85,15145.43,18.29,0.0,15145.43,18.29
Potchefstroom,Live,638,2024/02/01 08:55,2024/02/28 19:30,ZAR,24066.4,0,-19548.45,4517.95,18.77,26.48,4491.47,18.66
Potchefstroom,Prematch,4273,2024/02/01 08:58,2024/02/28 20:44,ZAR,94427.14,0,-68330.57,26096.57,27.64,0.0,26096.57,27.64
Pretoria,Multi-games,558,2024/02/01 09:43,2024/02/28 21:42,ZAR,3092.46,0,-2753.49,338.97,10.96,0.0,338.97,10.96
Pretoria,Lucky #1 (4min),460,2024/02/01 07:52,2024/02/28 18:33,ZAR,7903.55,0,-7253.1,650.45,8.23,6.71,643.74,8.14
Pretoria,Keno - Big 20,2269,2024/02/01 08:14,2024/02/28 18:35,ZAR,78210.13,0,-66674.69,11535.44,14.75,0.0,11535.44,14.75
Pretoria,Numbers,75438,2024/02/01 09:31,2024/02/28 18:55,ZAR,2129478.18,0,-1448434.81,681043.37,31.98,0.0,681043.37,31.98
Pretoria,SIS 15s & 39s,3482,2024/02/01 07:40,2024/02/28 20:18,ZAR,136409.35,0,-111627.62,24781.73,18.17,0.0,24781.73,18.17
Pretoria,BetGames Lucky 5,1326,2024/02/01 08:35,2024/02/28 19:56,ZAR,41332.53,0,-34913.26,6419.27,15.53,60.59,6358.68,15.38
Pretoria,BetGames Lucky 6,1473,2024/02/01 08:15,2024/02/28 20:15,ZAR,10383.11,0,-8897.3,1485.81,14.31,0.0,1485.81,14.31
Pretoria,BetGames Lucky 7,3162,2024/02/01 09:15,2024/02/28 20:16,ZAR,109754.55,0,-78526.72,31227.83,28.45,0.0,31227.83,28.45
Pretoria,Horse Racing,2093,2024/02/01 08:10,2024/02/28 20:37,ZAR,52703.49,0,-34930.48,17773.01,33.72,0.0,17773.01,33.72
Pretoria,1904,1404,2024/02/01 08:46,2024/02/28 20:11,ZAR,12652.67,0,-8352.24,4300.43,33.99,0.0,4300.43,33.99
Pretoria,1906,621,2024/02/01 08:58,2024/02/28 20:54,ZAR,6613.92,0,-6102.36,511.56,7.73,0.0,511.56,7.73
Pretoria,Live,2078,2024/02/01 08:25,2024/02/28 19:14,ZAR,31959.21,0,-26231.83,5727.38,17.92,0.0,5727.38,17.92
Pretoria,Prematch,4121,2024/02/01 09:30,2024/02/28 18:32,ZAR,63768.33,0,-50447.07,13321.26,20.89,0.0,13321.26,20.89
Randburg,Multi-games,1897,2024/02/01 08:59,2024/02/28 18:46,ZAR,48061.68,0,-36013.8,12047.88,25.07,138.79,11909.09,24.78
Randburg,Lucky #1 (4min),634,2024/02/01 06:45,2024/02/28 19:36,ZAR,21229.66,0,-14463.56,6766.1,31.87,15.58,6750.52,31.8
Randburg,Keno - Big 20,3248,2024/02/01 06:16,2024/02/28 20:38,ZAR,87164.23,0,-69860.52,17303.71,19.85,0.0,17303.71,19.85
Randburg,Numbers,126302,2024/02/01 07:13,2024/02/28 21:54,ZAR,2686424.03,0,-2512598.02,173826.01,6.47,0.0,173826.01,6.47
Randburg,SIS 15s & 39s,2970,2024/02/01 09:48,2024/02/28 20:35,ZAR,15174.48,0,-14208.35,966.13,6.37,0.0,966.13,6.37
Randburg,BetGames Lucky 5,2461,2024/02/01 06:11,2024/02/28 20:24,ZAR,27497.66,0,-21778.38,5719.28,20.8,0.0,5719.28,20.8
Randburg,BetGames Lucky 6,4550,2024/02/01 06:13,2024/02/28 19:54,ZAR,151033.12,0,-108103.79,42929.33,28.42,0.0,42929.33,28.42
Randburg,BetGames Lucky 7,2952,2024/02/01 07:17,2024/02/28 18:42,ZAR,106738.46,0,-96843.05,9895.41,9.27,0.0,9895.41,9.27
Randburg,Horse Racing,1849,2024/02/01 08:58,2024/02/28 18:11,ZAR,15398.12,0,-12495.21,2902.91,18.85,0.0,2902.91,18.85
Randburg,1904,3841,2024/02/01 08:31,2024/02/28 19:31,ZAR,36323.55,0,-31885.92,4437.63,12.22,85.24,4352.39,11.98
Randburg,1906,2330,2024/02/01 07:47,2024/02/28 20:49,ZAR,16758.51,0,-11669.12,5089.39,30.37,0.0,5089.39,30.37
Randburg,Live,3730,2024/02/01 09:33,2024/02/28 21:47,ZAR,70965.82,0,-52732.35,18233.47,25.69,0.0,18233.47,25.69
Randburg,Prematch,1268,2024/02/01 09:22,2024/02/28 19:40,ZAR,15195.62,0,-10899.78,4295.84,28.27,0.0,4295.84,28.27
White River,Multi-games,3604,2024/02/01 07:46,2024/02/28 19:43,ZAR,22681.78,0,-20332.79,2348.99,10.36,0.0,2348.99,10.36
White River,Lucky #1 (4min),4014,2024/02/01 07:20,2024/02/28 20:58,ZAR,144816.42,0,-135191.62,9624.8,6.65,0.0,9624.8,6.65
White River,Keno - Big 20,2041,2024/02/01 09:13,2024/02/28 18:58,ZAR,20211.07,0,-18536.17,1674.9,8.29,0.0,1674.9,8.29
White River,Numbers,87032,2024/02/01 08:24,2024/02/28 21:14,ZAR,1167541.31,0,-901564.7,265976.61,22.78,0.0,265976.61,22.78
White River,SIS 15s & 39s,2853,2024/02/01 07:19,2024/02/28 18:37,ZAR,34832.38,0,-24748.82,10083.56,28.95,0.0,10083.56,28.95
White River,BetGames Lucky 5,356,2024/02/01 09:24,2024/02/28 21:10,ZAR,11509.06,0,-9961.85,1547.21,13.44,0.0,1547.21,13.44
White River,BetGames Lucky 6,944,2024/02/01 06:57,2024/02/28 21:31,ZAR,20491.0,0,-14222.96,6268.04,30.59,0.0,6268.04,30.59
White River,BetGames Lucky 7,1449,2024/02/01 06:44,2024/02/28 19:20,ZAR,39802.96,0,-33866.37,5936.59,14.91,99.99,5836.6,14.66
White River,Horse Racing,4508,2024/02/01 06:22,2024/02/28 18:45,ZAR,163818.37,0,-115114.44,48703.93,29.73,0.0,48703.93,29.73
White River,1904,2748,2024/02/01 08:43,2024/02/28 19:16,ZAR,78156.57,0,-64009.58,14146.99,18.1,0.0,14146.99,18.1
White River,1906,4469,2024/02/01 08:15,2024/02/28 18:37,ZAR,83678.62,0,-57846.93,25831.69,30.87,0.0,25831.69,30.87
White River,Live,2062,2024/02/01 09:17,2024/02/28 19:16,ZAR,49946.24,0,-41919.32,8026.92,16.07,111.12,7915.8,15.85
White River,Prematch,4567,2024/02/01 06:16,2024/02/28 20:45,ZAR,102774.36,0,-76918.31,25856.05,25.16,0.0,25856.05,25.16
Malvern,Multi-games,433,2024/03/01 09:48,2024/03/28 20:59,ZAR,9741.82,0,-7707.5,2034.32,20.88,12.87,2021.45,20.75
Malvern,Lucky #1 (4min),4330,2024/03/01 07:57,2024/03/28 18:28,ZAR,137261.75,0,-129487.7,7774.05,5.66,0.0,7774.05,5.66
Malvern,Keno - Big 20,3362,2024/03/01 07:27,2024/03/28 21:20,ZAR,44916.44,0,-41610.65,3305.79,7.36,0.0,3305.79,7.36
Malvern,Numbers,21850,2024/03/01 09:38,2024/03/28 18:14,ZAR,609375.78,0,-431028.68,178347.1,29.27,0.0,178347.1,29.27
Malvern,SIS 15s & 39s,3830,2024/03/01 08:32,2024/03/28 19:25,ZAR,97234.81,0,-88612.34,8622.47,8.87,95.71,8526.76,8.77
Malvern,BetGames Lucky 5,758,2024/03/01 09:58,2024/03/28 19:35,ZAR,20685.43,0,-17770.6,2914.83,14.09,0.0,2914.83,14.09
Malvern,BetGames Lucky 6,3440,2024/03/01 06:57,2024/03/28 21:59,ZAR,40266.29,0,-35734.42,4531.87,11.25,36.09,4495.78,11.17
Malvern,BetGames Lucky 7,2357,2024/03/01 06:34,2024/03/28 20:15,ZAR,56275.03,0,-36820.44,19454.59,34.57,0.0,19454.59,34.57
Malvern,Horse Racing,2981,2024/03/01 06:13,2024/03/28 18:47,ZAR,34466.58,0,-30748.91,3717.67,10.79,0.0,3717.67,10.79
Malvern,1904,4012,2024/03/01 07:49,2024/03/28 19:40,ZAR,94257.86,0,-61393.48,32864.38,34.87,325.88,32538.5,34.52
Malvern,1906,511,2024/03/01 08:31,2024/03/28 20:29,ZAR,9489.04,0,-7867.74,1621.3,17.09,0.0,1621.3,17.09
Malvern,Live,3550,2024/03/01 09:40,2024/03/28 21:52,ZAR,82394.86,0,-58821.67,23573.19,28.61,0.0,23573.19,28.61
Malvern,Prematch,1077,2024/03/01 06:41,2024/03/28 19:52,ZAR,25396.19,0,-22673.41,2722.78,10.72,0.0,2722.78,10.72
Potchefstroom,Multi-games,2503,2024/03/01 07:13,2024/03/28 21:11,ZAR,94906.97,0,-81561.55,13345.42,14.06,0.0,13345.42,14.06
Potchefstroom,Lucky #1 (4min),717,2024/03/01 09:25,2024/03/28 20:15,ZAR,7691.72,0,-5070.93,2620.79,34.07,0.0,2620.79,34.07
Potchefstroom,Keno - Big 20,4654,2024/03/01 07:16,2024/03/28 20:29,ZAR,41923.55,0,-37849.46,4074.09,9.72,0.0,4074.09,9.72
Potchefstroom,Numbers,16047,2024/03/01 06:26,2024/03/28 18:36,ZAR,335499.33,0,-257613.36,77885.97,23.21,34.45,77851.52,23.2
Potchefstroom,SIS 15s & 39s,2687,2024/03/01 07:40,2024/03/28 19:37,ZAR,98568.41,0,-88130.77,10437.64,10.59,0.0,10437.64,10.59
Potchefstroom,BetGames Lucky 5,80,2024/03/01 06:43,2024/03/28 20:40,ZAR,1169.51,0,-836.23,333.28,28.5,0.0,333.28,28.5
Potchefstroom,BetGames Lucky 6,4463,2024/03/01 08:48,2024/03/28 18:14,ZAR,110254.73,0,-103330.47,6924.26,6.28,105.52,6818.74,6.18
Potchefstroom,BetGames Lucky 7,4981,2024/03/01 09:21,2024/03/28 19:26,ZAR,143391.61,0,-131359.05,12032.56,8.39,215.68,11816.88,8.24
Potchefstroom,Horse Racing,1322,2024/03/01 08:42,2024/03/28 18:20,ZAR,27491.63,0,-21679.68,5811.95,21.14,0.0,5811.95,21.14
Potchefstroom,1904,4403,2024/03/01 08:54,2024/03/28 20:45,ZAR,146506.54,0,-125949.83,20556.71,14.03,0.0,20556.71,14.03
Potchefstroom,1906,1858,2024/03/01 07:23,2024/03/28 19:51,ZAR,73865.85,0,-49734.61,24131.24,32.67,0.0,24131.24,32.67
Potchefstroom,Live,2094,2024/03/01 07:19,2024/03/28 21:22,ZAR,42321.34,0,-33138.76,9182.58,21.7,0.0,9182.58,21.7
Potchefstroom,Prematch,1349,2024/03/01 07:12,2024/03/28 18:21,ZAR,7960.34,0,-6127.93,1832.41,23.02,16.09,1816.32,22.82
Pretoria,Multi-games,4956,2024/03/01 09:33,2024/03/28 21:22,ZAR,132411.67,0,-105433.3,26978.37,20.37,0.0,26978.37,20.37
Pretoria,Lucky #1 (4min),1825,2024/03/01 08:52,2024/03/28 21:22,ZAR,57094.89,0,-42535.29,14559.6,25.5,0.0,14559.6,25.5
Pretoria,Keno - Big 20,946,2024/03/01 09:21,2024/03/28 20:52,ZAR,24827.81,0,-20865.6,3962.21,15.96,0.0,3962.21,15.96
Pretoria,Numbers,20505,2024/03/01 08:23,2024/03/28 19:36,ZAR,778253.82,0,-674110.36,104143.46,13.38,0.0,104143.46,13.38
Pretoria,SIS 15s & 39s,3206,2024/03/01 08:29,2024/03/28 21:56,ZAR,19177.37,0,-17549.39,1627.98,8.49,0.0,1627.98,8.49
Pretoria,BetGames Lucky 5,4489,2024/03/01 09:47,2024/03/28 18:38,ZAR,75758.01,0,-64125.0,11633.01,15.36,0.0,11633.01,15.36
Pretoria,BetGames Lucky 6,1977,2024/03/01 08:55,2024/03/28 19:19,ZAR,76665.48,0,-72772.5,3892.98,5.08,74.08,3818.9,4.98
Pretoria,BetGames Lucky 7,4838,2024/03/01 08:35,2024/03/28 20:16,ZAR,37907.85,0,-28844.49,9063.36,23.91,0.0,9063.36,23.91
Pretoria,Horse Racing,4241,2024/03/01 06:28,2024/03/28 18:14,ZAR,149208.73,0,-111894.35,37314.38,25.01,124.37,37190.01,24.92
Pretoria,1904,89,2024/03/01 08:52,2024/03/28 19:41,ZAR,2228.95,0,-1500.45,728.5,32.68,0.0,728.5,32.68
Pretoria,1906,1536,2024/03/01 09:59,2024/03/28 19:21,ZAR,52703.35,0,-41515.55,11187.8,21.23,0.0,11187.8,21.23
Pretoria,Live,2607,2024/03/01 09:47,2024/03/28 19:35,ZAR,63869.15,0,-45014.65,18854.5,29.52,292.9,18561.6,29.06
Pretoria,Prematch,1485,2024/03/01 07:12,2024/03/28 19:16,ZAR,37427.98,0,-34375.97,3052.01,8.15,0.0,3052.01,8.15
Randburg,Multi-games,1642,2024/03/01 07:40,2024/03/28 21:51,ZAR,47842.63,0,-31515.87,16326.76,34.13,0.0,16326.76,34.13
Randburg,Lucky #1 (4min),975,2024/03/01 06:41,2024/03/28 18:21,ZAR,21443.64,0,-17364.49,4079.15,19.02,0.0,4079.15,19.02
Randburg,Keno - Big 20,659,2024/03/01 09:18,2024/03/28 18:28,ZAR,9577.22,0,-8362.35,1214.87,12.68,0.0,1214.87,12.68
Randburg,Numbers,20095,2024/03/01 06:23,2024/03/28 20:40,ZAR,712302.56,0,-667969.06,44333.5,6.22,0.0,44333.5,6.22
Randburg,SIS 15s & 39s,1803,2024/03/01 09:27,2024/03/28 21:22,ZAR,46971.61,0,-39849.82,7121.79,15.16,0.0,7121.79,15.16
Randburg,BetGames Lucky 5,3820,2024/03/01 09:46,2024/03/28 21:55,ZAR,112180.87,0,-98972.39,13208.48,11.77,0.0,13208.48,11.77
Randburg,BetGames Lucky 6,3751,2024/03/01 06:35,2024/03/28 20:21,ZAR,136439.58,0,-124963.47,11476.11,8.41,35.03,11441.08,8.39
Randburg,BetGames Lucky 7,2673,2024/03/01 09:41,2024/03/28 20:34,ZAR,48624.27,0,-38515.06,10109.21,20.79,0.0,10109.21,20.79
